PROP_NAME,CITY,PROP_HEADING,AGE,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
Embassy Lake Terraces,Bangalore,"3 BHK Flat for sale in Hebbal Kempapura, Bangalore",,4.15 Cr,"Hebbal Kempapura, Bangalore",3554,11680,"Embassy Lake Terraces is an idea of luxury inspired by global citizens who have experienced the best. Located at Hebbal in North Bengaluru - an epicenter of growth and investment, with hospitals, leading tech parks, and international schools in the vicinity, it lets you access the world with ease. More About This Property 3 BHK Apartment for sale in Bengaluru. This property is in Hebbal Kempapura, which is a coveted investment location. This tastefully designed 3 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by ...",3.0,13.0514799,77.5933559,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCgib1mqHFf0xP0mgqZIYJGrUwxkzi46H2Og&s
"Bhaktharahalli, Bangalore",Bangalore,"5 BHK Independent House for sale in Bhaktharahalli, Bangalore",,87.0 L,"Bhaktharahalli, Bangalore",580,15000,"5 BHK Independent House for sale in Bengaluru. This property is in Bhaktharahalli, which is a coveted investment location. This tastefully designed 5 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 5 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 87.0 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 580 Square feet. This is a North facing property. It has 3 bathroom and 5 bedrooms. So...",5.0,13.0184895,77.7844739,https://images.pexels.com/photos/221540/pexels-photo-221540.jpeg?auto=compress&cs=tinysrgb&w=1200
Kolte Patil Raaga,Bangalore,"2 BHK Flat for sale in Kannuru, Bangalore",,60.0 L,"Kannuru, Bangalore",982,6110,"2BHK FOR SALE IN KOLTE PATIL RAAGA PHASE 1, SEMIFURNISHED, 9TH FLOOR, BALCONY POOL FACING, WITH ALL MODERN AMENITIES, READY TO MOVE, CLOSE TO ORR, FLAT EAST FACING

More About This Property

A 2 BHK Apartment for sale in Kannuru, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Kannuru's most desired properties. Contact now for more information. This 2 BHK unit is on floor 9. There are 14 floors in this property. The price of this Apartment is Rs 60.0 L. Maintenance charges come to Rs 4299. Each unit has a built-...",2.0,13.0967426,77.6535003,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSh2Id5dHqC2rHXkmtupJTtwF--hHi7k73Epg&s
"Attibele, Bangalore",Bangalore,"3 BHK Villa for sale in Attibele, Bangalore",,95.0 L,"Attibele, Bangalore",2200,4320,"A 3 BHK Villa for sale in Attibele, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Attibele's most desired properties. Contact now for more information. The price of this Villa is Rs 95.0 L. Each unit has a built-up area of 2200 Square feet. There are 6 bedrooms. There is provision for 3 bathroom. This residential property is near Bachpan...A Play School Attibele, St. Dominic's School, and Attibele Public School. It is also close to Sri Ragava Children's & General Hospital, TRINETRA EYE CARE, and Sanjeevini Man...",3.0,12.7751249,77.7709216,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTELc7ZeW8q44QOefKeOAxvtiIAiTcfN7JMcnaM9J_Ar98ZnM_eLC1Mfy0&s
Nitesh Central Park,Bangalore,"3 BHK Flat for sale in Kogilu, Bangalore",,1.1 Cr,"Prakruthi Nagar, Kogilu,Bangalore",1558,7060,"Check out this 3 BHK Apartment for sale in Kogilu, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Kogilu is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 8. The property's price is Rs 1.1 Cr. Residents in this property pay Rs 6000 towards maintenance. This property is a modern-day abode, with 1558 Square feet built-up area. The carpet-area is...",3.0,13.0978966,77.6157367,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx7ttDlu-kQVj1XCjp4EcIq4yJo1yKqpkWtg&s
Prabhavathi Lotus 2,Bangalore,"2 BHK Flat for sale in Bommanahalli, Bangalore",,44.0 L,"Lake City, Bommanahalli,Bangalore",1000,4400,"One of the finest property in Bommanahalli is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 5 storeyed building. The price of this Apartment is Rs 44.0 L. Other charges when you move into this property include maintenance, which is Rs 2000. This Apartment is spacious with a built-up area of 1000 Square feet. The carpet area is 850 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Rami's Dance Inc, Shantiniketan Educational Instituti...",2.0,12.8997376,77.6173368,https://plus.unsplash.com/premium_photo-1684348962314-64fa628992f0?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Prestige Pinewood,Bangalore,"3 BHK Flat for sale in Koramangala, Bangalore",,3.8 Cr,"Koramangala, Bangalore",1839,20660,"Prestige Pinewood is a High-Rise Residential Development in the midst of a well-established and sought after location, at Koramangala (Jakkasandara) Bangalore. Koramangala, located at the heart of the city has good proximity to IT hub and recreational zones. Prestige Pinewood consist of 256 premium apartments and offers a combination of 2, 2.5, 3 and 4 bedroom units, and sits on a prime land of 2.5 acres and is placed in such a way that it provides maximum natural light and ventilation. The master plan of these properties offers the finest view of the adjacent landscaped parks, and the overall...",3.0,12.9355801,77.6180899,https://images.unsplash.com/photo-1649083048381-520a5b3d91ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU4fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
YMR Lichen,Bangalore,"2 BHK Flat for sale in Kothanur, Bangalore",,55.0 L,"Kothanur, Bangalore",1079,5100,"This lovely 2 BHK for sale is only 59 Lakhs rupees without any extra brokerage & could be your new home. This East facing home is on the 2nd floor. This home is over 1060 sqft. & even comes with ample space for parking of car and bike.

When you need community centre, kids play zone, a gym, garden & swimming pool for relaxation, all you have to do is step out of the door as the apartment complex has what you're looking for. You are viewing the right home if you would prefer a house with parking for visitors, fire fighting equipment & gas pipeline. If you are looking for a home with intercom, s...",2.0,13.0613601,77.6493895,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUMEKlzQimuIoPkRM6xG9YQu812i_zhbrX6Q&s
"Kamala Nagar, Bangalore",Bangalore,"2 BHK Flat for sale in Kamala Nagar, Bangalore",,80.0 L,"Kamala Nagar, Bangalore",1150,6960,"Check out this 2 BHK Apartment for sale in Kamla Nagar, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Kamla Nagar is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 4. The property's price is Rs 80.0 L. Residents in this property pay Rs 2200 towards maintenance. This property is a modern-day abode, with 1150 Square feet built-up area. The carp...",2.0,12.9450536,77.5586486,https://images.unsplash.com/photo-1649083048381-520a5b3d91ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU4fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
GK Tropical Springs,Bangalore,"3 BHK Flat for sale in Chansandra, Bangalore",,94.0 L,"Chansandra, Bangalore",1619,5810,"Check out this 3 BHK Apartment for sale in Chansandra, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Chansandra is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 13. The property's price is Rs 94.0 L. This property is a modern-day abode, with 1619 Square feet built-up area. The unit has 3 bedrooms and 0 bathroom. Educational institutions are ...",3.0,12.982522,77.7605253,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHw
