PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
Rajapushpa Apartment,"3 BHK Flat for sale in Attapur, Hyderabad",,Hyderabad,96.0 L,"Huda Colony, Attapur,Hyderabad",1791,5360,"One of the finest property in Attapur is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 3. It is a 5 storeyed building. The price of this Apartment is Rs 96.0 L. Other charges when you move into this property include maintenance, which is Rs 2000. This Apartment is spacious with a built-up area of 1791 Square feet. The carpet area is 1650 Square feet. There are 3 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as KENDRIYA VIDYALAYA NO:1 GOLCONDA, SmartKidz Pre School, a...",3,17.3578904,78.4328061,https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjZ8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
"Yapral, Hyderabad","3 BHK Flat for sale in Yapral, Hyderabad",,Hyderabad,73.88 L,"Yapral, Hyderabad",1640,4500,"3bhk East 1640 sqft .2side road easy parking ,Lift auto start.both ground and borewell water .Hdfc/Lic loan ,Oc certificate .cc tv .lift ,covered parking , More About This Property Looking for a 3 BHK Apartment for sale in Hyderabad? Your search ends here. Buy this 3 BHK property in Hyderabad's finest location, Yapral. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 5 floors. This Apartment is available at a reasonable price of Rs 73.88 L. Maintenance charges in this property is Rs 1500. The built up area of this property is 1640 Square feet. It is ...",3,17.5030543,78.5407976,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUXLoXIi93q3IA43oFGPot4DMUMvj47DzxUZ7TX6yq9WBCvYDZuYr_6lg&s
Indis VB City,"2 BHK Flat for sale in Bolarum, Hyderabad",,Hyderabad,55.0 L,"Railway Employees Colony, Bolarum,Hyderabad",842,6530,"Flat is in gated community.  Speciality of this flat is there are so many amenities. More About This Property One of the finest property in Bolarum is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 5 storeyed building. The price of this Apartment is Rs 55.0 L. Other charges when you move into this property include maintenance, which is Rs 0. This Apartment is spacious with a built-up area of 842 Square feet. It is a East-facing property with a good view. There are 2 bedrooms and 2 bathroom. Lift facility is also availabl...",2,17.5379769,78.5095908,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmVs6XebhjPJFMe4Msluqr4TKh5hVz9J7FeA&s
KSR Rams Abode East,"3 BHK Flat for sale in Kompally, Hyderabad",,Hyderabad,96.89 L,"Kompally, Hyderabad",1765,5490,"3 BHK Apartment for sale in Hyderabad. This property is in Kompally, which is a coveted investment location. This tastefully designed 3 BHK unit is among Hyderabad's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Hyderabad is on floor 4. The total number of floors in this Apartment is 5. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1765 Square feet. It has 3 bathroom and 3 bedrooms. Some...",3,17.5354867,78.5096981,https://images.unsplash.com/photo-1649083048381-520a5b3d91ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU4fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
"Jadcherla, Hyderabad","3 BHK Independent House for sale in Jadcherla, Hyderabad",,Hyderabad,58.0 L,"Jadcherla, Hyderabad",1700,3410,"Looking for a 3 BHK Independent House for sale in Hyderabad? Your search ends here. Buy this 3 BHK property in Hyderabad's finest location, Jadcherla. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 56.0 L. Maintenance charges in this property is Rs 0. The built up area of this property is 1700 Square feet. It is spacious for a family and this property has a carpet area of 1700 Square feet. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as SVKM School, NMIMS Cam...",3,17.5138189,78.2883202,https://images.unsplash.com/photo-1710883727450-d3a0ab1bbbe3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NjN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Praneeth APR Pranav Antilia,"5 BHK Villa for sale in Bachupally, Hyderabad",,Hyderabad,5.25 Cr,"Bachupally, Hyderabad",4000,13130,"5 BHK Villa for sale in Bachupally, Hyderabad. This 5 BHK unit is available in Bachupally and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Bachupally. The price of this Villa is Rs 5.25 Cr. Residents in this project also pay monthly maintenance charges of Rs 4000. The built-up area is 4000 Square feet. There are 5 bedrooms and 5 bathroom. The property is North-East-facing. This building is equipped with lift. This is a gated community. It is a thoroughly...",5,17.5423902,78.3854429,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSAocrl9gU05bXdZ8SHdVl63XZqJJLIlHCien30uNsL4HZvjRt8UGJUyg&s
Emerald Heights by Modi Builders,"2 BHK Flat for sale in Bachupally, Hyderabad",,Hyderabad,65.0 L,"Bachupally, Hyderabad",1145,5680,"Looking for a 2 BHK Apartment for sale in Hyderabad? Your search ends here. Buy this 2 BHK property in Hyderabad's finest location, Bachupally. This is an owner listed property and there is no brokerage involved. It is on floor 4 out of 6 floors. This Apartment is available at a reasonable price of Rs 65.0 L. The built up area of this property is 1145 Square feet. There are a number of reputed schools in the vicinity such as Spring Board International Preschool - Bachupally, Sanfort Kranthi Nagar - Preschool, Play School, Kindergarten, Nursery School in India, and Sri Vagdevi Archis School. Me...",2,17.5423902,78.3854429,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOgUr6lvtRkgLS_xfsf5Mo1l_G0OlI8K6yTg&s
Hillside,"4 BHK Villa for sale in Gandipet, Hyderabad",,Hyderabad,11.5 Cr,"Gandipet, Hyderabad",7000,16430,"Check out this 4 BHK Villa for sale in Gandipet, Hyderabad. This property is posted by owner and thus there is no need to pay any broker amount. This 4 BHK Villa is perfect for a modern-day lifestyle. Gandipet is a promising location in Hyderabad and this is one of the finest properties in the area. Buy this Villa for sale now. The total number of floors in this project is 3. The property's price is Rs 14.0 Cr. This property is a modern-day abode, with 7000 Square feet built-up area. It is a East-facing property. The unit has 4 bedrooms and 5 bathroom. Residents in this Villa can make use of t...",4,17.3417371,78.3682318,https://plus.unsplash.com/premium_photo-1661883982941-50af7720a6ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YmVhdXRpZnVsJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
Aparna Sarovar Zenith,"3 BHK Flat for sale in Serilingampally, Hyderabad",,Hyderabad,1.78 Cr,"Serilingampally, Hyderabad",1850,9620,"3 BHK Apartment for sale in Hyderabad. This property is in Serilingampally, which is a coveted investment location. This tastefully designed 3 BHK unit is among Hyderabad's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Hyderabad is on floor 3. The total number of floors in this Apartment is 20. The price of the Apartment is Rs 1.8 Cr. Monthly maintenance charges come to Rs 6000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1850...",3,17.4656574,78.3406724,https://images.pexels.com/photos/276724/pexels-photo-276724.jpeg?auto=compress&cs=tinysrgb&w=1200
Tricolour Palm Cove,"3 BHK Flat for sale in Uppal, Hyderabad",,Hyderabad,1.07 Cr,"Shanti Nagar, Uppal,Hyderabad",1850,5780,"A 3 BHK Apartment for sale in Uppal, Hyderabad. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Uppal's most desired properties. Contact now for more information. This 3 BHK unit is on floor 3. There are 7 floors in this property. The price of this Apartment is Rs 1.07 Cr. Maintenance charges come to Rs 2000. Each unit has a built-up area of 1850 Square feet. The carpet area is 1350 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Pallavi Model School, MPPS Gandhi Naga...",3,17.400918,78.5708805,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTMGFidjuKnQ0iSmJouNcdQuo3AC54Ne70CQ&s
Kanopy Marigold,"3 BHK Flat for sale in Kompally, Hyderabad",,Hyderabad,1.05 Cr,"Kompally, Hyderabad",1685,6230,"Check out this 3 BHK Apartment for sale in Kompally, Hyderabad. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Kompally is a promising location in Hyderabad and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 10. The total number of floors in this project is 15. The property's price is Rs 1.0 Cr. This property is a modern-day abode, with 1685 Square feet built-up area. The carpet-area is 1136 Square feet. It is a East-facing property. The u...",3,17.5354867,78.5096981,https://images.unsplash.com/photo-1580041065738-e72023775cdc?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU0fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
