PROP_NAME,PROP_HEADING,AGE,PRICE,CITY,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
Srijani Apartment,"3 BHK Flat for sale in Ashok Nagar, Kolkata",,66.0 L,Kolkata,"Vivekananda Nagar, Ashok Nagar,Kolkata",1125,5870,"A 3 BHK Apartment for sale in Ashok Nagar, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Ashok Nagar's most desired properties. Contact now for more information. This 3 BHK unit is on floor 2. There are 4 floors in this property. The price of this Apartment is Rs 66.0 L. Each unit has a built-up area of 1125 Square feet. There are 3 bedrooms. There is provision for 2 bathroom. This residential property is near G.D. Birla Centre For Education (Senior Section), Future Foundation School, and The Future Foundation S...",3.0,22.4763156,88.3385928,https://images.pexels.com/photos/271795/pexels-photo-271795.jpeg?auto=compress&cs=tinysrgb&w=800
Vedic Village Greentech City,"2 BHK Flat for sale in Rajarhat, Kolkata",,43.0 L,Kolkata,"Rajarhat, Kolkata",950,4530,"Call me only if you are interested to buy a 2BHK flat in Vedic Village, Rajarhat. One of the best property near new town rajarhat. Close proximity to IT hubs in Rajarhat. It has all the amenities like club house, kids playing area, swimming pool, gymnasium. Lot of greenery around. It is close to international airport.  More About This Property 2 BHK Apartment for sale in Chandpur, Kolkata. This 2 BHK unit is available in Chandpur and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purch...",2.0,22.6231943,88.4437332,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4MZkvZ7mqsl1Y3zTX6pP4mOusUGiGyeUQXQ&s
Sopan Niwas,"3 BHK Flat for sale in Golf Green, Kolkata",,2.0 Cr,Kolkata,"Golf Green, Kolkata",1500,13330,"3 BHK Apartment for sale in Kolkata. This property is in Golf Green, which is a coveted investment location. This tastefully designed 3 BHK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Kolkata is on floor 2. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 2.0 Cr. Monthly maintenance charges come to Rs 1850. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1500 Square feet...",3.0,22.4913328,88.3618382,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDraQ5G3s2YOBtmzqzFlkkpdwGrflfHHsf2Q&s
Fortune Township,"3 BHK Flat for sale in Barasat, Kolkata",,43.0 L,Kolkata,"Barasat, Kolkata",1200,3580,"3 BHK Apartment for sale in Kolkata. This property is in Barasat, which is a coveted investment location. This tastefully designed 3 BHK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Kolkata is on floor 2. The total number of floors in this Apartment is 5. The price of the Apartment is Rs 43.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1200 Square feet. The carpet area is 1000 Square feet. This is a...",3.0,22.7240295,88.4889199,https://images.unsplash.com/photo-1710883727450-d3a0ab1bbbe3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NjN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
"Baguiati, Kolkata","2 BHK Flat for sale in Baguiati, Kolkata",,27.86 L,Kolkata,"Baguiati, Kolkata",750,3710,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Kolkata's top location, Baguiati. It is situated on floor 3. The total number of floors in this Apartment is 5. The property price of this unit is Rs 27.86 L. The built-up area is 750 Square feet. There are 2 bedrooms and 2 bathroom. This property enjoys a good view and is South-East-facing. Regular water supply is provided. It is an ideal location for young families with kids, as this property is close to Gurukul Activity Centre PVT LTD, ...",2.0,22.616396,88.4278599,https://images.unsplash.com/photo-1580041065738-e72023775cdc?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU0fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Vedic Village Greentech City,"3 BHK Flat for sale in Rajarhat, Kolkata",,85.0 L,Kolkata,"Rajarhat, Kolkata",2015,4220,"its a 2015 Duplex apartment  nestled away from hustle bustle of city chaos and provides all great facilities like golf, club, restaurant , swimming pool , a great hotel inside a gated community . More About This Property A 3 BHK Apartment for sale in Chandpur, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Chandpur's most desired properties. Contact now for more information. This 3 BHK unit is on floor 1. There are 4 floors in this property. The price of this Apartment is Rs 88.0 L. Maintenance charges come to Rs...",3.0,22.6231943,88.4437332,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNKpNBASdiLZdhZBo7TnqnUHUXaIm6xFNTkwaZZVGwMXfDdsZbQX9XxgQ&s
521 Jodhpur Park,"2 BHK Flat for sale in Dhakuria, Kolkata",,1.08 Cr,Kolkata,"Dhakuria, Kolkata",1200,9000,"One of the finest property in Jodhpur Park is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 3. It is a 5 storeyed building. The price of this Apartment is Rs 1.08 Cr. This Apartment is spacious with a built-up area of 1200 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Delhi Public School (Junior School), Future Foundation School, and Carmel High School. It is also close to good and reputed hospitals like AMRI Hospital Dhakuria, AMRI Hospit...",2.0,22.5094085,88.371185,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUJ-ufHOCoOF5cpUEU0FRDDDYVt9kDHKN4S3GYCG116-SVp1fAf-kygOU&s
Ideal Niketan,"3 BHK Flat for sale in Tangra, Kolkata",,1.0 Cr,Kolkata,"Tangra, Kolkata",1450,6900,"A 3 BHK Apartment for sale in Tangra, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Tangra's most desired properties. Contact now for more information. This 3 BHK unit is on floor 3. There are 7 floors in this property. The price of this Apartment is Rs 1.0 Cr. Maintenance charges come to Rs 3300. Each unit has a built-up area of 1450 Square feet. There are 3 bedrooms. There is provision for 2 bathroom. This residential property is near Tangra Primary School, Bhutnath Mahamaya Uchcha Balika Vidyalaya, and Asha N...",3.0,22.5565107,88.3795946,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiP_PwpC1OYnhS3DnBsvvlHPLiDIDM7wehSA&s
"Seal Lane, Tangra,Kolkata","2 BHK Flat for sale in Tangra, Kolkata",,85.0 L,Kolkata,"Seal Lane, Tangra,Kolkata",1115,7620,"We are the proud owners of this 2 bhk apartment available in tangra, e m bypass ideal niketan, block c. 
Ready to move in and sale, fully furnished.

This furnished apartment is a and the unit is located on 6th floor and has a super built-Up area of 1115 sq.Ft. . 

It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type. 

The apartment has 2 open parking. More About This Property 2 BHK Apartment for sale in Kolkata. This property is in Tangra, which is a coveted investment location. This tastefully designed 2 BHK unit is among Kolkata's best properties. No brokerage to be paid f...",2.0,22.5517876,88.3817142,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZABuUXhYCF0QqxZ8I_Mu6K8-4z67LTX_oBA&s
"Hindustan Park, Gariahat,Kolkata","3 BHK Flat for sale in Gariahat, Kolkata",,70.0 L,Kolkata,"Hindustan Park, Gariahat,Kolkata",990,7070,"One of the finest property in Gariahat is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 3. It is a 3 storeyed building. The price of this Apartment is Rs 70.0 L. Other charges when you move into this property include maintenance, which is Rs 1000. This Apartment is spacious with a built-up area of 990 Square feet. The carpet area is 825 Square feet. There are 3 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Modern High School, Delhi Public School (Junior School), a...",3.0,22.5253002,88.3654384,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnROB3ZtRtJm_4XVzKMFoLov6SBm0cqx785Q&s
