PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATIUTUDE,LONGITUDE,url
Colombia Apartment,"3 BHK Flat for sale in Bandra West, Mumbai",,Mumbai,5.7 Cr,"Bandra West, Mumbai",1260,45240,"Beautiful 3BHK with 3 bathrooms in the heart of Mumbai. Wonderful flat renovated for couples, families in prime area, Bandra West.

24 security, lots of natural sunlight, full of energy. 

Please contact for more details. More About This Property 3 BHK Apartment for sale in Bandra West, Mumbai. This 3 BHK unit is available in Bandra West and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Bandra West. It is on floor 3. The total number of floors is 11. The ...",3.0,19.0583358,72.8302669,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoJQyruZfVTsuufG6zvBhIhg0odTp83yaduA&s
Transcon Tirumala Sky,"3 BHK Flat for sale in Mulund West, Mumbai",,Mumbai,2.85 Cr,"Govardhan Nagar, Mulund West,Mumbai",1510,18870,"Property for sale in Mulund West, Mumbai. This 3 BHK Apartment is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 16. The total number of floors in this building is 39. This Apartment's price is Rs 2.85 Cr. This Apartment is a spacious unit, with carpet area of 981 Square feet and is ideal for families. The built-up area is 1510 Square feet. The property has 3 bedrooms and 3 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Fortis Hospital Mulund, Fortis H...",3.0,19.1832686,72.9459213,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbGTZSL1OiofYCjJvDIL40aAzI8iTWv6erpw&s
Shree Shakun Heights,"3 BHK Flat for sale in Goregaon East, Mumbai",,Mumbai,4.5 Cr,"Goregaon East, Mumbai",2900,15520,"Check out this 3 BHK Apartment for sale in Goregaon East, Mumbai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Goregaon East is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 15. The total number of floors in this project is 15. The property's price is Rs 4.5 Cr. Residents in this property pay Rs 9000 towards maintenance. This property is a modern-day abode, with 2900 Square feet built-up area. The carp...",3.0,19.1692623,72.8552548,https://media.istockphoto.com/id/1990444472/photo/scandinavian-style-cozy-living-room-interior.webp?a=1&b=1&s=612x612&w=0&k=20&c=F5A3eF6myaJpITu5ABnGqNjacGWYskuxeZviU-KpxPE=
"Ghartan Pada, Dahisar East,Mumbai","1 BHK Independent House for sale in Dahisar East, Mumbai",,Mumbai,75.0 L,"Ghartan Pada, Dahisar East,Mumbai",450,16670,"1 BHK Independent House for sale in Mumbai. This property is in Dahisar East, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 75.0 L. Monthly maintenance charges come to Rs 1200. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 450 Square feet. It has 2 bathroom and 1 bedroom. Some of the very well-known and reputed s...",1.0,19.2519433,72.8675191,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTZ8fGxpdmluZyUyMHJvb218ZW58MHx8MHx8fDA%3D
Sarvodaya nagar,"1 BHK Flat for sale in Bhuleshwar, Mumbai",,Mumbai,1.49 Cr,"Gulal Wadi, Bhuleshwar,Mumbai",500,29800,"One of the finest property in Girgaon is now available for sale. This is a 1 BHK Apartment posted directly by owner. Make it yours now. It is on floor 5. It is a 5 storeyed building. The price of this Apartment is Rs 1.49 Cr. Other charges when you move into this property include maintenance, which is Rs 2000. This Apartment is spacious with a built-up area of 500 Square feet. The carpet area is 400 Square feet. There are 1 bedroom and 1 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. Health enthusiasts will enjoy the host of ...",1.0,18.9559494,72.8285412,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEvcjWX9CvhOfBspzaLbqRtC1ffyzJPy_vOA&s
Runwal Forest Tower 1 To 4,"1 BHK Flat for sale in Kanjurmarg West, Mumbai",,Mumbai,1.35 Cr,"Kanjurmarg West, Mumbai",650,20690,"1 BHK Apartment for sale in Mumbai. This property is in Kanjurmarg West, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 14. The total number of floors in this Apartment is 38. The price of the Apartment is Rs 1.35 Cr. Monthly maintenance charges come to Rs 6500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 650 Square ...",1.0,19.1281626,72.9260991,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMYopneXydH1Tj-HVI4vtdHy-PKAw_HOIggg&s
Reliance Tilak Nagar Nisarg Co Op Hsg Soc Ltd,"2 BHK Flat for sale in Chembur, Mumbai",,Mumbai,1.99 Cr,"Tilak Nagar, Chembur,Mumbai",1100,18090,"Looking for a good 2 BHK Apartment in Kurla, Mumbai? This property is in one of Mumbai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 16. This Apartment is available for Rs 2.0 Cr. This modern unit has a built-up area of 1100 Square feet. The carpet area of this Apartment is 730 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Shree IVF Clinic- Dr Jay Mehta, Surana Sethia Hospital, and Mumbai Eye Care - Multi Speciality Hospital. Established schools, such as Little Mil...",2.0,19.0674263,72.8961927,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4MZkvZ7mqsl1Y3zTX6pP4mOusUGiGyeUQXQ&s
"Juhu Scheme, Juhu,Mumbai","5 BHK Flat for sale in Juhu, Mumbai",,Mumbai,13.5 Cr,"Juhu Scheme, Juhu,Mumbai",4000,33750,"Best 5 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 5 BHK property for sale in one of Mumbai's top location, Juhu. It is situated on floor 11. The total number of floors in this Apartment is 14. The property price of this unit is Rs 14.5 Cr. Monthly maintenance costs Rs 20000. The carpet area of this unit is 2675 Square feet. The built-up area is 4000 Square feet. There are 5 bedrooms and 6 bathroom. It is an ideal location for young families with kids, as this property is close to Humming Birds Playgroup Nursery Day Care C...",5.0,19.1025973,72.8253422,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSh2Id5dHqC2rHXkmtupJTtwF--hHi7k73Epg&s
Raja Tirupati Balaji Towers,"1 BHK Flat for sale in Santacruz West, Mumbai",,Mumbai,2.35 Cr,"Tagore Road, Santacruz West,Mumbai",600,39170,"EXCELLENT LOCATION, NO BARGAIN, NO BROKERS, 60K MARKET RATE PER SQ.FT. ONLY CHEQUE . NO COMPARISON WITH OTHER AREAS AND OTHER PROPERTIES More About This Property Property for sale in Santacruz West, Mumbai. This 1 BHK Apartment is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 8. The total number of floors in this building is 10. This Apartment's price is Rs 2.5 Cr. Homebuyers will also need to pay Rs 5175 towards maintenance. This Apartment is a spacious unit, with carpet area of 450 Square feet and is ideal for...",1.0,19.082508,72.8362426,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8MjvnbSc6liQnQkA4CxF3EUwZ9u_tAZ1zFw&s
L&T Crescent Bay T5,"3 BHK Flat for sale in Parel, Mumbai",,Mumbai,6.0 Cr,"Bhoiwada, Parel,Mumbai",2275,26370,"Looking for a good 3 BHK Apartment in Parel, Mumbai? This property is in one of Mumbai's most popular locations. This is a no brokerage property. The property is on floor 15. Total number of floors is 50. Maintenance charges of this property is Rs 20000. This Apartment is available for Rs 6.0 Cr. This modern unit has a built-up area of 2275 Square feet. The carpet area of this Apartment is 1606 Square feet. There are 9 bedrooms and 3 bathroom. It is very close to some of city's best hospitals, such as, Tata Memorial Hospital, King Edward Memorial Hospital, and Global Hospital. (Mumbai). Establ...",3.0,19.006503,72.8447438,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0Q6epPR-WeT-riL_bMbYnzKh5SBnKpHRw7Q&s
