PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
Radhika Apartment,"1 BHK Flat for sale in Sector 14 Dwarka, New Delhi",,New Delhi,60.0 L,"Sector 14 Dwarka, New Delhi",442,13570,"Looking for a 1 BHK Apartment for sale in Delhi? Your search ends here. Buy this 1 BHK property in Delhi's finest location, Sector 14, Dwarka. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 1 floors. This Apartment is available at a reasonable price of Rs 60.0 L. Maintenance charges in this property is Rs 200. The built up area of this property is 442 Square feet. There are 1 bedroom and 2 bathroom. There are a number of reputed schools in the vicinity such as Prudence School, Bal Bharati Public School–Dwarka (BBPS–Dwarka), and Sri Venkateshwar Int...",1.0,28.5592725,77.0666248,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1aGsF7DBNe9YwgWX48m7HmGLG2aRBxTMf8SD4P6qvyPqG0Z9vXxAaRZk&s
Savera Appartments,"2 BHK Flat for sale in Sector 13 Rohini, New Delhi",,New Delhi,2.0 Cr,"Sector 13 Rohini, New Delhi",986,20280,"2 BHK Apartment for sale in Rohini, Delhi. This 2 BHK unit is available in Rohini and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Rohini. It is on floor 0. The total number of floors is 2. The price of this Apartment is Rs 2.1 Cr. Residents in this project also pay monthly maintenance charges of Rs 1500. The built-up area is 986 Square feet. There are 2 bedrooms and 2 bathroom. The property is North-facing. This is a gated community. Other facilities in...",2.0,28.713012,77.1264429,https://images.unsplash.com/photo-1710883727450-d3a0ab1bbbe3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NjN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
"Naraina Village, Naraina,New Delhi","5+ BHK Independent House for sale in Naraina, New Delhi",,New Delhi,5.5 Cr,"Naraina Village, Naraina,New Delhi",1125,48890,"Looking for a 5+ BHK Independent House for sale in Delhi? Your search ends here. Buy this 5+ BHK property in Delhi's finest location, Naraina. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 5.5 Cr. Maintenance charges in this property is Rs 0. The built up area of this property is 1125 Square feet. There are 6 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as A to Z Training Institute, Dashmesh Public School, and Government Boy's Senior Secondary School. Medical facility i...",,28.6184894,77.1365918,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdsFRof8WcIGyA0O1X8Y4Ncif5WstFcdm74g&s
CGHS Sita Apartments,"2 BHK Flat for sale in Sector 14 Rohini, New Delhi",,New Delhi,1.25 Cr,"Sector 14 Rohini, New Delhi",930,13440,"A 2 BHK Apartment for sale in Rohini, Delhi. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Rohini's most desired properties. Contact now for more information. This 2 BHK unit is on floor 2. There are 4 floors in this property. The price of this Apartment is Rs 1.25 Cr. Maintenance charges come to Rs 2000. Each unit has a built-up area of 930 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Vspk International School, Adarsh Public School, and Lancer Convent Senior Sec...",2.0,28.713012,77.1264429,https://images.unsplash.com/photo-1710883727434-01c65fc14c76?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTIwfHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
 Tarun Vihar Apartments,"3 BHK Flat for sale in Sector 13 Rohini, New Delhi",,New Delhi,1.8 Cr,"Sector 13 Rohini, New Delhi",1200,15000,"Property for sale in Rohini, Delhi. This 3 BHK Apartment is located in Delhi's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 0. The total number of floors in this building is 2. This Apartment's price is Rs 1.8 Cr. Homebuyers will also need to pay Rs 1500 towards maintenance. This Apartment is a spacious unit, with carpet area of 1150 Square feet and is ideal for families. The built-up area is 1200 Square feet. The property has 3 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous health...",3.0,28.713012,77.1264429,https://images.unsplash.com/photo-1628744876497-eb30460be9f6?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fGJlYXV0aWZ1bCUyMGhvdXNlfGVufDB8fDB8fHww
" Sector 2 Rohini, New Delhi","2 BHK Flat for sale in  Sector 2 Rohini, New Delhi",,New Delhi,30.0 L," Sector 2 Rohini, New Delhi",500,6000,"One of the finest property in Rohini is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 1 storeyed building. The price of this Apartment is Rs 33.0 L. This Apartment is spacious with a built-up area of 500 Square feet. The carpet area is 500 Square feet. It is a North-facing property with a good view. There are 2 bedrooms and 1 bathroom. This is a gated community. Other facilities include Garden, Community Hall. This project has regular water supply. Kids area is also present. This property ensures you are a quick distanc...",2.0,28.713012,77.1264429,https://images.unsplash.com/photo-1710883727450-d3a0ab1bbbe3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NjN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Mangal Apartment,"4 BHK Flat for sale in Dallupura, New Delhi",,New Delhi,2.0 Cr,"Dallupura, New Delhi",1650,12120,"4 BHK Apartment for sale in Delhi. This property is in Vasundhara Enclave, which is a coveted investment location. This tastefully designed 4 BHK unit is among Delhi's best properties. No brokerage to be paid for this property. This 4 BHK property is posted directly by Owner. Contact now for more details. This property in Delhi is on floor 5. The total number of floors in this Apartment is 7. The price of the Apartment is Rs 2.0 Cr. Monthly maintenance charges come to Rs 2800. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1650 Square fe...",4.0,28.5972103,77.3298821,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVApfb8p9n8rBz78SFU33XyoNxZstFv_KuHw&s
Indraprastha Apartments,"3 BHK Flat for sale in Sector 14 Rohini, New Delhi",,New Delhi,3.5 Cr,"Sector 14 Rohini, New Delhi",1600,21880,"Looking for a 3 BHK Apartment for sale in Delhi? Your search ends here. Buy this 3 BHK property in Delhi's finest location, Rohini. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 7 floors. This Apartment is available at a reasonable price of Rs 3.75 Cr. The built up area of this property is 1600 Square feet. There are 3 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Vspk International School, Remal Public School, and Adarsh Public School. Medical facility is also close at hand with names like Max Super Specia...",3.0,28.713012,77.1264429,https://images.unsplash.com/photo-1710883727434-01c65fc14c76?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTIwfHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Vikas Sheel Apartments,"3 BHK Flat for sale in Sector 13 Rohini, New Delhi",,New Delhi,1.9 Cr,"Sector 13 Rohini, New Delhi",1650,11520,"Property for sale in Rohini, Delhi. This 3 BHK Apartment is located in Delhi's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 4. This Apartment's price is Rs 2.0 Cr. Homebuyers will also need to pay Rs 1700 towards maintenance. This Apartment is a spacious unit, with carpet area of 1060 Square feet and is ideal for families. The built-up area is 1650 Square feet. The property has 3 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous health...",3.0,28.713012,77.1264429,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPqFi7EUuUAdPJU6LwxL0MFerMNGOl7q3wfA&s
Singh Govindpuri - 1,"2 BHK Flat for sale in Govindpuri, New Delhi",,New Delhi,40.0 L,"Govindpuri, New Delhi",650,6150,"2 BHK Apartment for sale in Govindpuri, Delhi. This 2 BHK unit is available in Govindpuri and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Govindpuri. It is on floor 2. The total number of floors is 5. The price of this Apartment is Rs 40.0 L. Residents in this project also pay monthly maintenance charges of Rs 500. It is a good, spacious Apartment unit with carpet area of 600 Square feet. The built-up area is 650 Square feet. There are 2 bedrooms and 2 ...",2.0,28.538862,77.2642277,https://images.pexels.com/photos/209296/pexels-photo-209296.jpeg?auto=compress&cs=tinysrgb&w=1200
