PROP_NAME,AGE,PROP_HEADING,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,CITY,LATITUDE,LONGITUDE,url
Suryoday Complex,,"2 BHK Flat for sale in Chinchwad, Pune",57.0 L,"MIDC, Chinchwad,Pune",840,6790,"2 BHK Apartment for sale in Chinchwad, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Chinchwad which is a promising investment destination in Pune. This might be your chance to grab the best 2 BHK property for sale in Chinchwad. The property is on floor 2 and the total number of floors is 7. This 2 BHK Apartment is available at a reasonable price of Rs 57.0 L. Residents also need to pay maintenance charges of Rs 780. It is a very spacious property, spread over 650 Square feet. The built-up area is 840 Square feet. ...",2.0,Pune,18.6298,73.7997,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEvcjWX9CvhOfBspzaLbqRtC1ffyzJPy_vOA&s
ARV Newtown,,"2 BHK Flat for sale in Pisoli, Pune",48.0 L,"Pisoli, Pune",1100,4360,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Pune's top location, Pisoli. It is situated on floor 4. The total number of floors in this Apartment is 11. The property price of this unit is Rs 49.5 L. Monthly maintenance costs Rs 3129. The carpet area of this unit is 735 Square feet. The built-up area is 1000 Square feet. There are 2 bedrooms and 2 bathroom. This property enjoys a good view and is East-facing. This property in Pisoli, Pune has lift facility as well. It is a safe premis...",2.0,Pune,18.4547,73.9016,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcKKXF6xtJsA_ckbJDxOlhSCYCSLcUH09pKy6N3BWNu8rcAb8o37DISto&s
Neeti Galaxy,,"1 BHK Flat for sale in Undri, Pune",32.5 L,"Undri, Pune",699,4650,"Looking for a 1 BHK Apartment for sale in Pune? Your search ends here. Buy this 1 BHK property in Pune's finest location, Undri. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 3 floors. Maintenance charges in this property is Rs 1250. The built up area of this property is 699 Square feet. It is spacious for a family and this property has a carpet area of 579 Square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as Hare Krishna Motor Driving School, Delhi Public School, and Vibgyor High School. M...",1.0,Pune,18.4467,73.9135,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHt04SBAFAUclp76AURqPMi4uixUx8zGVDNA&s
Mantra Majestica Apartment,,"2 BHK Flat for sale in Hadapsar, Pune",42.0 L,"Sasane Nagar, Hadapsar,Pune",810,5180,"Great location, best flat in the society, 3 sides awesome view More About This Property Check out this 2 BHK Apartment for sale in Hadapsar, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Hadapsar is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 8. The total number of floors in this project is 9. The property's price is Rs 42.0 L. Residents in this property pay Rs 1500 towards maintenance. This prope...",2.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYVpaZGn8odKSp7EX8d9Tb-vMbb5lkKp5AA&s
"Jyoti Society, Parvati Darshan,Pune",,"2 BHK Flat for sale in Parvati Darshan, Pune",1.68 Cr,"Jyoti Society, Parvati Darshan,Pune",1500,11200,"Jayesh Nigade Plot No 36 Padmadarshan Housing Society Satara Road Pune 9 Near Walwaker Lawns More About This Property Property for sale in Satar Nagar, Pune. This 2 BHK Apartment is located in Pune's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 6. This Apartment's price is Rs 1.68 Cr. Homebuyers will also need to pay Rs 2000 towards maintenance. The built-up area is 1500 Square feet. The property has 2 bedrooms and 2 bathroom. This unit enjoys a good view and is a East facing prope...",2.0,Pune,18.4949,73.848,https://images.pexels.com/photos/1428348/pexels-photo-1428348.jpeg?auto=compress&cs=tinysrgb&w=800
Gayatrree Legacy,,"2 BHK Flat for sale in Moshi, Pune",57.0 L,"MIDC, Moshi,Pune",1009,5650,"Looking for a 2 BHK Apartment for sale in Pune? Your search ends here. Buy this 2 BHK property in Pune's finest location, Pimpri Chinchwad. This is an owner listed property and there is no brokerage involved. It is on floor 0 out of 8 floors. This Apartment is available at a reasonable price of Rs 57.0 L. Maintenance charges in this property is Rs 2000. The built up area of this property is 1009 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Disney Kids Pre-School, SNBP INTERNATIONAL SCHOOL & COLLEGE, CHIKHALI, and Priyadarshani ...",2.0,Pune,18.618,73.8036,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNOI6gFWooV1HQBqdG0NMlkWohCWPDtxSyiA&s
"Dream City Chinchwad,Chinchwad Gaon, Chinchwad,Pune",,"1 BHK Flat for sale in Chinchwad, Pune",47.0 L,"Dream City Chinchwad,Chinchwad Gaon, Chinchwad,Pune",648,7250,"1 BHK Apartment for sale in Chinchwad, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Chinchwad which is a promising investment destination in Pune. This might be your chance to grab the best 1 BHK property for sale in Chinchwad. The property is on floor 3 and the total number of floors is 6. This 1 BHK Apartment is available at a reasonable price of Rs 47.0 L. Residents also need to pay maintenance charges of Rs 2667. It is a very spacious property, spread over 471 Square feet. The built-up area is 648 Square feet....",1.0,Pune,18.6298,73.7997,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFyfi0uf1t-u3cXQDcluS_bcl8FFO8OHHarQ&s
"Bellagio, Undri,Pune",,"3 BHK Independent House for sale in Undri, Pune",1.85 Cr,"Bellagio, Undri,Pune",2725,6790,"3 BHK Independent House for sale in Undri, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Undri which is a promising investment destination in Pune. This might be your chance to grab the best 3 BHK property for sale in Undri. This 3 BHK Independent House is available at a reasonable price of Rs 1.85 Cr. The built-up area is 2725 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like PBMA's H. V. Desai Eye Hospital, D...",3.0,Pune,18.4467,73.9135,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8MjvnbSc6liQnQkA4CxF3EUwZ9u_tAZ1zFw&s
Shiv Kunj,,"2 BHK Flat for sale in Hadapsar, Pune",41.0 L,"Sasane Nagar, Hadapsar,Pune",792,5180,"Check out this 2 BHK Apartment for sale in Sasane Nagar, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Sasane Nagar is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 3. The property's price is Rs 41.0 L. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 792 Square feet built-up area. The unit has 2 bedro...",2.0,Pune,18.5089,73.924,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHww
"Amarsrushti Soceity,Unnatinagar, Hadapsar,Pune",,"6 BHK Villa for sale in Hadapsar, Pune",3.75 Cr,"Amarsrushti Soceity,Unnatinagar, Hadapsar,Pune",3150,11900,"6 BHK Villa for sale in Hadapsar, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Villa is in Hadapsar which is a promising investment destination in Pune. This might be your chance to grab the best 6 BHK property for sale in Hadapsar. This 6 BHK Villa is available at a reasonable price of Rs 3.75 Cr. The built-up area is 3150 Square feet. This property has provision for 6 bathroom. Lift is provided in this property. Other provisions include Gym, Garden, Sports Facility, Swimming Pool, Intercom, Clubhouse, Community Hall. This prope...",6.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0Q6epPR-WeT-riL_bMbYnzKh5SBnKpHRw7Q&s
Sonigara Nilay Apartment,,"2 BHK Flat for sale in Chinchwad, Pune",67.0 L,"Chinchwad Gaon, Chinchwad,Pune",720,9300,"Check out this 2 BHK Apartment for sale in Chinchwad, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Chinchwad is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 5. The total number of floors in this project is 7. The property's price is Rs 67.0 L. Residents in this property pay Rs 1500 towards maintenance. This property is a modern-day abode, with 720 Square feet built-up area. The unit has 2 bedrooms...",2.0,Pune,18.6298,73.7997,https://images.pexels.com/photos/323780/pexels-photo-323780.jpeg?auto=compress&cs=tinysrgb&w=1200
Sukhwani Sukhwani Campus,,"3 BHK Flat for sale in Pimpri, Pune",1.1 Cr,"MIDC, Pimpri,Pune",999,11010,"Sukhwani Campus Vallabhnagar Pimpri  A1/1,Tulips,2nd floor 
Opposite ST stand  More About This Property Looking for a 3 BHK Apartment for sale in Pune? Your search ends here. Buy this 3 BHK property in Pune's finest location, Pimpri Chinchwad. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 6 floors. This Apartment is available at a reasonable price of Rs 1.1 Cr. Maintenance charges in this property is Rs 1500. The built up area of this property is 999 Square feet. There are 3 bedrooms and 3 bathroom. The Apartment has lift facility. It is a thoroug...",3.0,Pune,18.618,73.8036,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbGTZSL1OiofYCjJvDIL40aAzI8iTWv6erpw&s
ARV Imperia C D And E Building,,"2 BHK Flat for sale in Pisoli, Pune",50.0 L,"Pisoli, Pune",1030,4850,"A 2 BHK Apartment for sale in Pisoli, Pune. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Pisoli's most desired properties. Contact now for more information. This 2 BHK unit is on floor 8. There are 14 floors in this property. The price of this Apartment is Rs 42.0 L. Maintenance charges come to Rs 2750. Each unit has a built-up area of 1030 Square feet. The carpet area is 722 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Hare Krishna Motor Driving School, Vibgyor...",2.0,Pune,18.4547,73.9016,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0WQqK3erZrT8CVJGb0GYtcdsFtswqB00eYw&s
Mantra Majestica Apartment,,"2 BHK Flat for sale in Hadapsar, Pune",48.0 L,"Sasane Nagar, Hadapsar,Pune",930,5160,"A 2 BHK Apartment for sale in Hadapsar, Pune. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Hadapsar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 7. There are 9 floors in this property. The price of this Apartment is Rs 48.0 L. Each unit has a built-up area of 930 Square feet. The carpet area is 660 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. The Apartment in Hadapsar, Pune has lift facility. It is a thoroughly secure premise with cctv facility. Other ...",2.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSAocrl9gU05bXdZ8SHdVl63XZqJJLIlHCien30uNsL4HZvjRt8UGJUyg&s
