city,bhk,area,price
bangalore,3.0,3554,41500000.0
bangalore,5.0,580,8700000.0
bangalore,2.0,982,6000000.0
bangalore,3.0,2200,9500000.0
bangalore,3.0,1558,11000000.0
bangalore,2.0,1000,4400000.0
bangalore,3.0,1839,38000000.0
bangalore,2.0,1079,5500000.0
bangalore,2.0,1150,8000000.0
bangalore,3.0,1619,9400000.0
bangalore,7.0,2700,9000000.0
bangalore,2.0,1247,4200000.0
bangalore,2.0,905,4200000.0
bangalore,5.0,1405,20000000.0
bangalore,2.0,1203,5500000.0
bangalore,2.0,850,2950000.0
bangalore,2.0,1150,5800000.0
bangalore,2.0,1350,7000000.0
bangalore,2.0,1163,7000000.0
bangalore,3.0,1241,7200000.0
bangalore,7.0,4000,32500000.0
bangalore,5.0,4600,43000000.0
bangalore,2.0,1235,9800000.0
bangalore,2.0,1115,5200000.0
bangalore,2.0,1150,7800000.0
bangalore,2.0,1285,6000000.0
bangalore,3.0,1600,9000000.0
bangalore,2.0,1058,8750000.0
bangalore,2.0,1250,6000000.0
bangalore,3.0,2700,42500000.0
bangalore,2.0,880,5500000.0
bangalore,3.0,1600,14000000.0
bangalore,4.0,2400,9000000.0
bangalore,3.0,4170,84000000.0
bangalore,2.0,1000,4900000.0
bangalore,2.0,1279,5800000.0
bangalore,3.0,1300,5600000.0
bangalore,3.0,1500,7300000.0
bangalore,3.0,1395,11000000.0
bangalore,3.0,1450,6000000.0
bangalore,2.0,1071,5900000.0
bangalore,4.0,3200,12500000.0
bangalore,3.0,1312,8750000.0
bangalore,3.0,950,12000000.0
bangalore,3.0,1570,6900000.0
bangalore,9.0,12321,90000000.0
bangalore,6.0,4000,20000000.0
bangalore,5.0,800,4500000.0
bangalore,4.0,2000,20000000.0
bangalore,4.0,2000,9900000.0
bangalore,3.0,1650,7500000.0
bangalore,3.0,1950,18000000.0
bangalore,3.0,1850,11500000.0
bangalore,3.0,1820,19100000.0
bangalore,5.0,1850,19000000.0
bangalore,3.0,2200,12000000.0
bangalore,3.0,1200,7500000.0
bangalore,2.0,1614,18600000.0
bangalore,2.0,1288,6600000.0
bangalore,4.0,2500,13000000.0
bangalore,5.0,3160,35000000.0
bangalore,2.0,960,4900000.0
bangalore,2.0,1186,6000000.0
bangalore,3.0,1750,9900000.0
bangalore,2.0,1330,8450000.0
bangalore,4.0,7000,42500000.0
bangalore,2.0,1167,4500000.0
bangalore,5.0,1900,6900000.0
bangalore,5.0,3200,25500000.0
bangalore,2.0,1032,4900000.0
bangalore,4.0,1024,25000000.0
bangalore,2.0,966,4800000.0
bangalore,4.0,2700,25000000.0
bangalore,3.0,1204,4500000.0
bangalore,2.0,1040,5500000.0
bangalore,4.0,2400,13000000.0
bangalore,1.0,2100,6800000.0
bangalore,2.0,1040,4900000.0
bangalore,2.0,883,5320000.0
bangalore,2.0,1052,9000000.0
bangalore,2.0,1080,5800000.0
bangalore,2.0,1208,7800000.0
bangalore,2.0,1215,6000000.0
bangalore,2.0,1192,7200000.0
bangalore,3.0,1252,7500000.0
bangalore,5.0,3900,54500000.0
bangalore,2.0,1287,7000000.0
bangalore,3.0,1616,5800000.0
bangalore,2.0,980,6500000.0
bangalore,5.0,4350,51000000.0
bangalore,6.0,2400,10500000.0
bangalore,4.0,1980,12000000.0
bangalore,2.0,1166,6500000.0
bangalore,2.0,1157,8900000.0
bangalore,3.0,1240,6000000.0
bangalore,2.0,814,5000000.0
bangalore,3.0,1082,5300000.0
bangalore,2.0,1277,9800000.0
bangalore,3.0,3900,13500000.0
bangalore,10.0,4000,25600000.0
bangalore,2.0,720,4500000.0
bangalore,2.0,1145,4950000.0
bangalore,5.0,3800,22500000.0
bangalore,4.0,2200,12000000.0
bangalore,2.0,1195,4900000.0
bangalore,3.0,2400,20000000.0
bangalore,3.0,1300,5500000.0
bangalore,4.0,2000,7500000.0
bangalore,3.0,2300,11500000.0
bangalore,3.0,1501,11800000.0
bangalore,4.0,1300,12000000.0
bangalore,2.0,960,4700000.0
bangalore,3.0,2800,27500000.0
bangalore,10.0,6500,20500000.0
bangalore,2.0,724,2800000.0
bangalore,2.0,1100,4000000.0
bangalore,2.0,1182,7800000.0
