PROP-NAME,PROP_HEADING,CITY,AGE,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
VGN Spring Field Phase 1,"2 BHK Flat for sale in Avadi, Chennai",Chennai,,48.0 L,"Avadi, Chennai",960,5000,"Property for sale in Avadi, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 2. This Apartment's price is Rs 48.0 L. The built-up area is 960 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as PG Women & Child Clinic (OLD)-Paediatrician(Child Specialist) & Gynaecologist in Avadi, Sri Sudharsanam Hospital, and Bohra Eye Hospital. ...",2.0,13.0151151,80.1923846,https://images.unsplash.com/photo-1484101403633-562f891dc89a?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
KG Earth Homes,"2 BHK Flat for sale in Siruseri, Chennai",Chennai,,40.0 L,"Siruseri, Chennai",940,4250,"Price negotiable. Big hall, big balcony, gated community, gym, pool, CCP, 24x7 power supply, security, lift, play area. More About This Property 2 BHK Apartment for sale in Thalambur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Thalambur which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Thalambur. The property is on floor 4 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 40.0 L. Reside...",2.0,12.8282728,80.2203926,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8bW9kZXJuJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
SSM Nagar,"3 BHK Flat for sale in Perungalathur, Chennai",Chennai,,57.0 L,"Perungalathur, Chennai",1317,4330,"Situated at Alapakkam, New Perungalathur. SURROUNDED by well established schools & colleges. Tambaram eastern bypass is very close and surrounded by nature and serene.  More About This Property Looking for a good 3 BHK Apartment in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 4. Maintenance charges of this property is Rs 3108. This Apartment is available for Rs 57.0 L. This modern unit has a built-up area of 1317 Square feet. The carpet area of this Apartment is 86...",3.0,12.9262201,80.1002602,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSw2iXIZVFA_AzYlVlNBeexN_3Vow31IMrX0ZBHrKYQhbIHR7ENHozv66w&s
VGN Coasta,"4 BHK Flat for sale in Muttukadu, Chennai",Chennai,,2.97 Cr,"Muttukadu, Chennai",4200,7070,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Muttukadu. It is situated on floor 5. The total number of floors in this Apartment is 15. The property price of this unit is Rs 2.97 Cr. Monthly maintenance costs Rs 14000. The built-up area is 4200 Square feet. There are 4 bedrooms and 5 bathroom. This property enjoys a good view and is North-facing. This property in Muttukadu, Chennai has lift facility as well. It is a safe premise with cctv facility. Other amenit...",4.0,12.8059018,80.2422023,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSAocrl9gU05bXdZ8SHdVl63XZqJJLIlHCien30uNsL4HZvjRt8UGJUyg&s
CasaGrand Vistaaz,"3 BHK Villa for sale in Kolapakkam - Vandalur, Chennai",Chennai,,1.08 Cr,"Kolapakkam - Vandalur, Chennai",1566,6900,"Close to Shriram IT Gateway and New Kilambakkam Bus Stand More About This Property Looking for a good 3 BHK Villa in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. This Villa is available for Rs 1.08 Cr. This modern unit has a built-up area of 1566 Square feet. This property has a good view and is South-East-facing. There are 3 bedrooms and 3 bathroom. This is a gated community. Cctv facility is provided to ensure safety. Sports enthusiasts have multiple options such as Gym, Garden, Sports Facility, Swimming Pool, Clubh...",3.0,12.8420834,80.1552761,https://images.pexels.com/photos/271795/pexels-photo-271795.jpeg?auto=compress&cs=tinysrgb&w=800
Redmond Square,"3 BHK Flat for sale in Sholinganallur, Chennai",Chennai,,70.0 L,"Sholinganallur, Chennai",1500,4670,"Check out this 3 BHK Apartment for sale in Sholinganallur, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Sholinganallur is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 4. The property's price is Rs 90.0 L. Residents in this property pay Rs 4500 towards maintenance. This property is a modern-day abode, with 1500 Square feet built-up area. The un...",3.0,12.9174426,80.2164902,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZz_6-2IasnsMuCQK8DJpyBXRyt9JlDNid5w&s
"Veppampattu, Chennai","1 BHK Independent House for sale in Veppampattu, Chennai",Chennai,,24.8 L,"Veppampattu, Chennai",560,4430,"Looking for a 1 BHK Independent House for sale in Chennai? Your search ends here. Buy this 1 BHK property in Chennai's finest location, Veppampattu. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 24.8 L. The built up area of this property is 560 Square feet. It is spacious for a family and this property has a carpet area of 220 Square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as Sri Aravindar School, ANGEL School, and Veppampattu School. Medical facil...",1.0,13.1258146,80.010147,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVApfb8p9n8rBz78SFU33XyoNxZstFv_KuHw&s
"Puzhal, Chennai","2 BHK Independent House for sale in Puzhal, Chennai",Chennai,,55.0 L,"Puzhal, Chennai",850,6470,"2 BHK Independent House for sale in Surapet, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Surapet which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Surapet. This 2 BHK Independent House is available at a reasonable price of Rs 55.0 L. Residents also need to pay maintenance charges of Rs 500. It is a very spacious property, spread over 600 Square feet. The built-up area is 850 Square feet. This property has provision for 2 bathro...",2.0,13.1304812,80.2133666,https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fGhvdXNlfGVufDB8fDB8fHww
"Venkateshwara Nagar, Ramapuram,Chennai","2 BHK Flat for sale in Ramapuram, Chennai",Chennai,,54.0 L,"Venkateshwara Nagar, Ramapuram,Chennai",860,6280,"Looking for a good 2 BHK Apartment in Ramapuram, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 7. Maintenance charges of this property is Rs 600. This Apartment is available for Rs 54.0 L. This modern unit has a built-up area of 860 Square feet. The carpet area of this Apartment is 700 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Apollo Hospitals, Greams Road, MIOT International, and Dr.Agarwals Eye Hospital, Porur. Esta...",2.0,13.0276931,80.183415,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTZ8fGxpdmluZyUyMHJvb218ZW58MHx8MHx8fDA%3D
"Velachery, Chennai","3 BHK Flat for sale in Velachery, Chennai",Chennai,,79.0 L,"Velachery, Chennai",1300,6080,"3 BHK Apartment for sale in Velachery, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Velachery which is a promising investment destination in Chennai. This might be your chance to grab the best 3 BHK property for sale in Velachery. The property is on floor 0 and the total number of floors is 2. This 3 BHK Apartment is available at a reasonable price of Rs 79.0 L. The built-up area is 1300 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality...",3.0,12.9801655,80.2228506,https://images.pexels.com/photos/1693946/pexels-photo-1693946.jpeg?auto=compress&cs=tinysrgb&w=800
